city,target_datetime,date,time,tier,target,source,value,p10,p90,forecast_taken,hours_ahead,error
London,2026-05-27 22:00:00,2026-05-27,22:00:00,Observed,Temperature,Observation,16.32,,,,,
Cardiff,2026-05-27 13:00:00,2026-05-27,13:00:00,Observed,Temperature,Observation,26.34,,,,,
Glasgow,2026-05-27 13:00:00,2026-05-27,13:00:00,Observed,Temperature,Observation,18.9,,,,,
Aberdeen,2026-05-27 13:00:00,2026-05-27,13:00:00,Observed,Temperature,Observation,15.31,,,,,
London,2026-05-27 13:00:00,2026-05-27,13:00:00,Observed,Temperature,Observation,27.98,,,,,
London,2026-05-24 12:00:00,2026-05-24,12:00:00,Observed,Temperature,Observation,28.88,,,,,
London,2026-05-24 21:00:00,2026-05-24,21:00:00,Observed,Temperature,Observation,23.54,,,,,
Bristol,2026-05-28 11:00:00,2026-05-28,11:00:00,Observed,Temperature,Observation,26.84,,,,,
Norwich,2026-05-28 11:00:00,2026-05-28,11:00:00,Observed,Temperature,Observation,21.55,,,,,
Glasgow,2026-05-27 17:00:00,2026-05-27,17:00:00,Observed,Temperature,Observation,19.37,,,,,
Aberdeen,2026-05-27 17:00:00,2026-05-27,17:00:00,Observed,Temperature,Observation,13.49,,,,,
Cardiff,2026-05-27 17:00:00,2026-05-27,17:00:00,Observed,Temperature,Observation,29.41,,,,,
London,2026-05-28 05:00:00,2026-05-28,05:00:00,Observed,Temperature,Observation,17.92,,,,,
London,2026-05-27 08:00:00,2026-05-27,08:00:00,Observed,Temperature,Observation,23.27,,,,,
Newcastle,2026-05-23 09:00:00,2026-05-23,09:00:00,Observed,Temperature,Observation,15.31,,,,,
Manchester,2026-05-27 13:00:00,2026-05-27,13:00:00,Observed,Temperature,Observation,23.09,,,,,
Birmingham,2026-05-27 13:00:00,2026-05-27,13:00:00,Observed,Temperature,Observation,24.64,,,,,
Leeds,2026-05-27 13:00:00,2026-05-27,13:00:00,Observed,Temperature,Observation,18.3,,,,,
Norwich,2026-05-27 13:00:00,2026-05-27,13:00:00,Observed,Temperature,Observation,19.39,,,,,
Newcastle,2026-05-23 04:00:00,2026-05-23,04:00:00,Observed,Temperature,Observation,13.13,,,,,
Birmingham,2026-05-27 17:00:00,2026-05-27,17:00:00,Observed,Temperature,Observation,23.32,,,,,
Leeds,2026-05-27 17:00:00,2026-05-27,17:00:00,Observed,Temperature,Observation,16.03,,,,,
London,2026-05-24 07:00:00,2026-05-24,07:00:00,Observed,Temperature,Observation,20.49,,,,,
London,2026-05-24 16:00:00,2026-05-24,16:00:00,Observed,Temperature,Observation,31.19,,,,,
London,2026-05-28 00:00:00,2026-05-28,00:00:00,Observed,Temperature,Observation,15.97,,,,,
London,2026-05-28 09:00:00,2026-05-28,09:00:00,Observed,Temperature,Observation,27.0,,,,,
London,2026-05-27 03:00:00,2026-05-27,03:00:00,Observed,Temperature,Observation,19.37,,,,,
London,2026-05-22 16:00:00,2026-05-22,16:00:00,Observed,Temperature,Observation,27.11,,,,,
London,2026-05-24 02:00:00,2026-05-24,02:00:00,Observed,Temperature,Observation,16.11,,,,,
London,2026-05-24 11:00:00,2026-05-24,11:00:00,Observed,Temperature,Observation,29.1,,,,,
London,2026-05-24 20:00:00,2026-05-24,20:00:00,Observed,Temperature,Observation,25.01,,,,,
London,2026-05-28 04:00:00,2026-05-28,04:00:00,Observed,Temperature,Observation,16.74,,,,,
London,2026-05-22 02:00:00,2026-05-22,02:00:00,Observed,Temperature,Observation,13.06,,,,,
London,2026-05-21 21:00:00,2026-05-21,21:00:00,Observed,Temperature,Observation,17.93,,,,,
London,2026-05-24 06:00:00,2026-05-24,06:00:00,Observed,Temperature,Observation,18.39,,,,,
London,2026-05-24 15:00:00,2026-05-24,15:00:00,Observed,Temperature,Observation,31.8,,,,,
London,2026-05-22 06:00:00,2026-05-22,06:00:00,Observed,Temperature,Observation,18.53,,,,,
London,2026-05-24 01:00:00,2026-05-24,01:00:00,Observed,Temperature,Observation,16.0,,,,,
Glasgow,2026-05-23 00:00:00,2026-05-23,00:00:00,Observed,Temperature,Observation,12.77,,,,,
Glasgow,2026-05-23 11:00:00,2026-05-23,11:00:00,Observed,Temperature,Observation,15.76,,,,,
Aberdeen,2026-05-23 11:00:00,2026-05-23,11:00:00,Observed,Temperature,Observation,16.52,,,,,
Glasgow,2026-05-23 21:00:00,2026-05-23,21:00:00,Observed,Temperature,Observation,13.58,,,,,
Aberdeen,2026-05-23 21:00:00,2026-05-23,21:00:00,Observed,Temperature,Observation,13.1,,,,,
Glasgow,2026-05-24 08:00:00,2026-05-24,08:00:00,Observed,Temperature,Observation,15.59,,,,,
Aberdeen,2026-05-24 08:00:00,2026-05-24,08:00:00,Observed,Temperature,Observation,13.87,,,,,
Glasgow,2026-05-24 19:00:00,2026-05-24,19:00:00,Observed,Temperature,Observation,17.9,,,,,
Aberdeen,2026-05-24 19:00:00,2026-05-24,19:00:00,Observed,Temperature,Observation,18.35,,,,,
Glasgow,2026-05-25 06:00:00,2026-05-25,06:00:00,Observed,Temperature,Observation,11.97,,,,,
Aberdeen,2026-05-25 06:00:00,2026-05-25,06:00:00,Observed,Temperature,Observation,15.93,,,,,
Glasgow,2026-05-25 17:00:00,2026-05-25,17:00:00,Observed,Temperature,Observation,22.43,,,,,
Aberdeen,2026-05-25 17:00:00,2026-05-25,17:00:00,Observed,Temperature,Observation,21.0,,,,,
Glasgow,2026-05-26 04:00:00,2026-05-26,04:00:00,Observed,Temperature,Observation,12.99,,,,,
Aberdeen,2026-05-26 04:00:00,2026-05-26,04:00:00,Observed,Temperature,Observation,12.21,,,,,
Glasgow,2026-05-26 14:00:00,2026-05-26,14:00:00,Observed,Temperature,Observation,23.39,,,,,
Aberdeen,2026-05-26 14:00:00,2026-05-26,14:00:00,Observed,Temperature,Observation,13.82,,,,,
Glasgow,2026-05-27 01:00:00,2026-05-27,01:00:00,Observed,Temperature,Observation,11.05,,,,,
Aberdeen,2026-05-27 01:00:00,2026-05-27,01:00:00,Observed,Temperature,Observation,10.51,,,,,
Glasgow,2026-05-23 01:00:00,2026-05-23,01:00:00,Observed,Temperature,Observation,12.48,,,,,
Aberdeen,2026-05-23 01:00:00,2026-05-23,01:00:00,Observed,Temperature,Observation,14.48,,,,,
Glasgow,2026-05-23 12:00:00,2026-05-23,12:00:00,Observed,Temperature,Observation,16.71,,,,,
Aberdeen,2026-05-23 12:00:00,2026-05-23,12:00:00,Observed,Temperature,Observation,16.88,,,,,
Glasgow,2026-05-23 22:00:00,2026-05-23,22:00:00,Observed,Temperature,Observation,13.31,,,,,
Aberdeen,2026-05-23 22:00:00,2026-05-23,22:00:00,Observed,Temperature,Observation,12.99,,,,,
Glasgow,2026-05-24 09:00:00,2026-05-24,09:00:00,Observed,Temperature,Observation,15.35,,,,,
Aberdeen,2026-05-24 09:00:00,2026-05-24,09:00:00,Observed,Temperature,Observation,15.0,,,,,
Glasgow,2026-05-24 20:00:00,2026-05-24,20:00:00,Observed,Temperature,Observation,17.78,,,,,
Aberdeen,2026-05-24 20:00:00,2026-05-24,20:00:00,Observed,Temperature,Observation,17.35,,,,,
Glasgow,2026-05-25 07:00:00,2026-05-25,07:00:00,Observed,Temperature,Observation,14.79,,,,,
Aberdeen,2026-05-25 07:00:00,2026-05-25,07:00:00,Observed,Temperature,Observation,17.1,,,,,
Glasgow,2026-05-25 18:00:00,2026-05-25,18:00:00,Observed,Temperature,Observation,21.5,,,,,
Aberdeen,2026-05-25 18:00:00,2026-05-25,18:00:00,Observed,Temperature,Observation,19.94,,,,,
Glasgow,2026-05-26 05:00:00,2026-05-26,05:00:00,Observed,Temperature,Observation,13.48,,,,,
Aberdeen,2026-05-26 05:00:00,2026-05-26,05:00:00,Observed,Temperature,Observation,12.8,,,,,
Glasgow,2026-05-27 02:00:00,2026-05-27,02:00:00,Observed,Temperature,Observation,11.65,,,,,
Aberdeen,2026-05-27 02:00:00,2026-05-27,02:00:00,Observed,Temperature,Observation,10.18,,,,,
Glasgow,2026-05-23 02:00:00,2026-05-23,02:00:00,Observed,Temperature,Observation,10.71,,,,,
Aberdeen,2026-05-23 02:00:00,2026-05-23,02:00:00,Observed,Temperature,Observation,14.18,,,,,
Glasgow,2026-05-23 13:00:00,2026-05-23,13:00:00,Observed,Temperature,Observation,16.64,,,,,
Aberdeen,2026-05-23 13:00:00,2026-05-23,13:00:00,Observed,Temperature,Observation,17.5,,,,,
Glasgow,2026-05-23 23:00:00,2026-05-23,23:00:00,Observed,Temperature,Observation,12.9,,,,,
Aberdeen,2026-05-23 23:00:00,2026-05-23,23:00:00,Observed,Temperature,Observation,13.07,,,,,
Glasgow,2026-05-24 10:00:00,2026-05-24,10:00:00,Observed,Temperature,Observation,16.01,,,,,
Aberdeen,2026-05-24 10:00:00,2026-05-24,10:00:00,Observed,Temperature,Observation,15.91,,,,,
Glasgow,2026-05-24 21:00:00,2026-05-24,21:00:00,Observed,Temperature,Observation,16.73,,,,,
Aberdeen,2026-05-24 21:00:00,2026-05-24,21:00:00,Observed,Temperature,Observation,16.98,,,,,
Glasgow,2026-05-25 08:00:00,2026-05-25,08:00:00,Observed,Temperature,Observation,16.65,,,,,
Aberdeen,2026-05-25 08:00:00,2026-05-25,08:00:00,Observed,Temperature,Observation,19.58,,,,,
Glasgow,2026-05-25 19:00:00,2026-05-25,19:00:00,Observed,Temperature,Observation,20.1,,,,,
Aberdeen,2026-05-25 19:00:00,2026-05-25,19:00:00,Observed,Temperature,Observation,16.87,,,,,
Glasgow,2026-05-26 06:00:00,2026-05-26,06:00:00,Observed,Temperature,Observation,14.1,,,,,
Aberdeen,2026-05-26 06:00:00,2026-05-26,06:00:00,Observed,Temperature,Observation,14.2,,,,,
Glasgow,2026-05-26 16:00:00,2026-05-26,16:00:00,Observed,Temperature,Observation,24.08,,,,,
Aberdeen,2026-05-26 16:00:00,2026-05-26,16:00:00,Observed,Temperature,Observation,12.23,,,,,
Glasgow,2026-05-23 03:00:00,2026-05-23,03:00:00,Observed,Temperature,Observation,10.45,,,,,
Aberdeen,2026-05-23 03:00:00,2026-05-23,03:00:00,Observed,Temperature,Observation,13.66,,,,,
Glasgow,2026-05-23 14:00:00,2026-05-23,14:00:00,Observed,Temperature,Observation,17.34,,,,,
Aberdeen,2026-05-23 14:00:00,2026-05-23,14:00:00,Observed,Temperature,Observation,17.88,,,,,
Glasgow,2026-05-24 00:00:00,2026-05-24,00:00:00,Observed,Temperature,Observation,12.14,,,,,
Aberdeen,2026-05-24 00:00:00,2026-05-24,00:00:00,Observed,Temperature,Observation,13.19,,,,,
Glasgow,2026-05-24 11:00:00,2026-05-24,11:00:00,Observed,Temperature,Observation,16.8,,,,,
Aberdeen,2026-05-24 11:00:00,2026-05-24,11:00:00,Observed,Temperature,Observation,16.14,,,,,
Glasgow,2026-05-24 22:00:00,2026-05-24,22:00:00,Observed,Temperature,Observation,14.0,,,,,
Aberdeen,2026-05-24 22:00:00,2026-05-24,22:00:00,Observed,Temperature,Observation,15.23,,,,,
Glasgow,2026-05-25 09:00:00,2026-05-25,09:00:00,Observed,Temperature,Observation,17.83,,,,,
Aberdeen,2026-05-25 09:00:00,2026-05-25,09:00:00,Observed,Temperature,Observation,20.46,,,,,
Glasgow,2026-05-25 20:00:00,2026-05-25,20:00:00,Observed,Temperature,Observation,18.09,,,,,
Aberdeen,2026-05-25 20:00:00,2026-05-25,20:00:00,Observed,Temperature,Observation,15.56,,,,,
Glasgow,2026-05-26 07:00:00,2026-05-26,07:00:00,Observed,Temperature,Observation,14.61,,,,,
Aberdeen,2026-05-26 07:00:00,2026-05-26,07:00:00,Observed,Temperature,Observation,15.26,,,,,
Glasgow,2026-05-26 17:00:00,2026-05-26,17:00:00,Observed,Temperature,Observation,23.81,,,,,
Aberdeen,2026-05-26 17:00:00,2026-05-26,17:00:00,Observed,Temperature,Observation,12.39,,,,,
Glasgow,2026-05-27 03:00:00,2026-05-27,03:00:00,Observed,Temperature,Observation,11.99,,,,,
Glasgow,2026-05-23 04:00:00,2026-05-23,04:00:00,Observed,Temperature,Observation,10.59,,,,,
Aberdeen,2026-05-23 04:00:00,2026-05-23,04:00:00,Observed,Temperature,Observation,12.5,,,,,
Glasgow,2026-05-23 15:00:00,2026-05-23,15:00:00,Observed,Temperature,Observation,16.98,,,,,
Aberdeen,2026-05-23 15:00:00,2026-05-23,15:00:00,Observed,Temperature,Observation,18.59,,,,,
Glasgow,2026-05-24 01:00:00,2026-05-24,01:00:00,Observed,Temperature,Observation,12.42,,,,,
Aberdeen,2026-05-24 01:00:00,2026-05-24,01:00:00,Observed,Temperature,Observation,12.88,,,,,
Glasgow,2026-05-24 12:00:00,2026-05-24,12:00:00,Observed,Temperature,Observation,17.62,,,,,
Aberdeen,2026-05-24 12:00:00,2026-05-24,12:00:00,Observed,Temperature,Observation,17.36,,,,,
Glasgow,2026-05-24 23:00:00,2026-05-24,23:00:00,Observed,Temperature,Observation,12.38,,,,,
Aberdeen,2026-05-24 23:00:00,2026-05-24,23:00:00,Observed,Temperature,Observation,14.39,,,,,
Glasgow,2026-05-25 10:00:00,2026-05-25,10:00:00,Observed,Temperature,Observation,19.52,,,,,
Aberdeen,2026-05-25 10:00:00,2026-05-25,10:00:00,Observed,Temperature,Observation,21.1,,,,,
Glasgow,2026-05-25 21:00:00,2026-05-25,21:00:00,Observed,Temperature,Observation,15.48,,,,,
Aberdeen,2026-05-25 21:00:00,2026-05-25,21:00:00,Observed,Temperature,Observation,13.96,,,,,
Glasgow,2026-05-26 08:00:00,2026-05-26,08:00:00,Observed,Temperature,Observation,16.26,,,,,
Aberdeen,2026-05-26 08:00:00,2026-05-26,08:00:00,Observed,Temperature,Observation,15.88,,,,,
Glasgow,2026-05-26 18:00:00,2026-05-26,18:00:00,Observed,Temperature,Observation,22.3,,,,,
Aberdeen,2026-05-26 18:00:00,2026-05-26,18:00:00,Observed,Temperature,Observation,12.16,,,,,
Aberdeen,2026-05-27 03:00:00,2026-05-27,03:00:00,Observed,Temperature,Observation,10.31,,,,,
Glasgow,2026-05-23 05:00:00,2026-05-23,05:00:00,Observed,Temperature,Observation,11.41,,,,,
Aberdeen,2026-05-23 05:00:00,2026-05-23,05:00:00,Observed,Temperature,Observation,12.95,,,,,
Glasgow,2026-05-23 16:00:00,2026-05-23,16:00:00,Observed,Temperature,Observation,16.9,,,,,
Aberdeen,2026-05-23 16:00:00,2026-05-23,16:00:00,Observed,Temperature,Observation,18.63,,,,,
Glasgow,2026-05-24 02:00:00,2026-05-24,02:00:00,Observed,Temperature,Observation,12.03,,,,,
Aberdeen,2026-05-24 02:00:00,2026-05-24,02:00:00,Observed,Temperature,Observation,12.16,,,,,
Glasgow,2026-05-24 13:00:00,2026-05-24,13:00:00,Observed,Temperature,Observation,19.13,,,,,
Aberdeen,2026-05-24 13:00:00,2026-05-24,13:00:00,Observed,Temperature,Observation,17.94,,,,,
Glasgow,2026-05-25 00:00:00,2026-05-25,00:00:00,Observed,Temperature,Observation,10.79,,,,,
Aberdeen,2026-05-25 00:00:00,2026-05-25,00:00:00,Observed,Temperature,Observation,14.32,,,,,
Glasgow,2026-05-25 11:00:00,2026-05-25,11:00:00,Observed,Temperature,Observation,19.71,,,,,
Aberdeen,2026-05-25 11:00:00,2026-05-25,11:00:00,Observed,Temperature,Observation,20.98,,,,,
Glasgow,2026-05-25 22:00:00,2026-05-25,22:00:00,Observed,Temperature,Observation,15.1,,,,,
Aberdeen,2026-05-25 22:00:00,2026-05-25,22:00:00,Observed,Temperature,Observation,13.46,,,,,
Glasgow,2026-05-26 09:00:00,2026-05-26,09:00:00,Observed,Temperature,Observation,18.94,,,,,
Aberdeen,2026-05-26 09:00:00,2026-05-26,09:00:00,Observed,Temperature,Observation,15.56,,,,,
Glasgow,2026-05-26 19:00:00,2026-05-26,19:00:00,Observed,Temperature,Observation,17.48,,,,,
Aberdeen,2026-05-26 19:00:00,2026-05-26,19:00:00,Observed,Temperature,Observation,11.93,,,,,
Glasgow,2026-05-23 06:00:00,2026-05-23,06:00:00,Observed,Temperature,Observation,11.5,,,,,
Aberdeen,2026-05-23 06:00:00,2026-05-23,06:00:00,Observed,Temperature,Observation,13.86,,,,,
Glasgow,2026-05-23 17:00:00,2026-05-23,17:00:00,Observed,Temperature,Observation,16.2,,,,,
Aberdeen,2026-05-23 17:00:00,2026-05-23,17:00:00,Observed,Temperature,Observation,18.88,,,,,
Glasgow,2026-05-24 03:00:00,2026-05-24,03:00:00,Observed,Temperature,Observation,12.14,,,,,
Aberdeen,2026-05-24 03:00:00,2026-05-24,03:00:00,Observed,Temperature,Observation,12.33,,,,,
Glasgow,2026-05-24 14:00:00,2026-05-24,14:00:00,Observed,Temperature,Observation,20.02,,,,,
Aberdeen,2026-05-24 14:00:00,2026-05-24,14:00:00,Observed,Temperature,Observation,19.63,,,,,
Glasgow,2026-05-25 01:00:00,2026-05-25,01:00:00,Observed,Temperature,Observation,9.95,,,,,
Aberdeen,2026-05-25 01:00:00,2026-05-25,01:00:00,Observed,Temperature,Observation,16.23,,,,,
Glasgow,2026-05-25 12:00:00,2026-05-25,12:00:00,Observed,Temperature,Observation,20.52,,,,,
Aberdeen,2026-05-25 12:00:00,2026-05-25,12:00:00,Observed,Temperature,Observation,21.44,,,,,
Glasgow,2026-05-25 23:00:00,2026-05-25,23:00:00,Observed,Temperature,Observation,15.14,,,,,
Aberdeen,2026-05-25 23:00:00,2026-05-25,23:00:00,Observed,Temperature,Observation,12.57,,,,,
Glasgow,2026-05-26 10:00:00,2026-05-26,10:00:00,Observed,Temperature,Observation,19.55,,,,,
Glasgow,2026-05-26 20:00:00,2026-05-26,20:00:00,Observed,Temperature,Observation,15.11,,,,,
Aberdeen,2026-05-26 20:00:00,2026-05-26,20:00:00,Observed,Temperature,Observation,11.3,,,,,
Glasgow,2026-05-27 04:00:00,2026-05-27,04:00:00,Observed,Temperature,Observation,11.58,,,,,
Aberdeen,2026-05-27 04:00:00,2026-05-27,04:00:00,Observed,Temperature,Observation,10.38,,,,,
Glasgow,2026-05-23 07:00:00,2026-05-23,07:00:00,Observed,Temperature,Observation,12.44,,,,,
Aberdeen,2026-05-23 07:00:00,2026-05-23,07:00:00,Observed,Temperature,Observation,15.4,,,,,
Glasgow,2026-05-24 04:00:00,2026-05-24,04:00:00,Observed,Temperature,Observation,12.19,,,,,
Aberdeen,2026-05-24 04:00:00,2026-05-24,04:00:00,Observed,Temperature,Observation,12.26,,,,,
Glasgow,2026-05-24 15:00:00,2026-05-24,15:00:00,Observed,Temperature,Observation,20.03,,,,,
Aberdeen,2026-05-24 15:00:00,2026-05-24,15:00:00,Observed,Temperature,Observation,20.13,,,,,
Glasgow,2026-05-25 02:00:00,2026-05-25,02:00:00,Observed,Temperature,Observation,9.3,,,,,
Aberdeen,2026-05-25 02:00:00,2026-05-25,02:00:00,Observed,Temperature,Observation,15.68,,,,,
Glasgow,2026-05-25 13:00:00,2026-05-25,13:00:00,Observed,Temperature,Observation,21.64,,,,,
Aberdeen,2026-05-25 13:00:00,2026-05-25,13:00:00,Observed,Temperature,Observation,22.68,,,,,
Glasgow,2026-05-26 00:00:00,2026-05-26,00:00:00,Observed,Temperature,Observation,14.14,,,,,
Aberdeen,2026-05-26 10:00:00,2026-05-26,10:00:00,Observed,Temperature,Observation,16.75,,,,,
Glasgow,2026-05-26 21:00:00,2026-05-26,21:00:00,Observed,Temperature,Observation,13.84,,,,,
Aberdeen,2026-05-26 21:00:00,2026-05-26,21:00:00,Observed,Temperature,Observation,11.03,,,,,
Glasgow,2026-05-27 07:00:00,2026-05-27,07:00:00,Observed,Temperature,Observation,12.94,,,,,
Aberdeen,2026-05-27 07:00:00,2026-05-27,07:00:00,Observed,Temperature,Observation,11.58,,,,,
Glasgow,2026-05-27 09:00:00,2026-05-27,09:00:00,Observed,Temperature,Observation,15.72,,,,,
Aberdeen,2026-05-27 09:00:00,2026-05-27,09:00:00,Observed,Temperature,Observation,12.5,,,,,
Glasgow,2026-05-23 08:00:00,2026-05-23,08:00:00,Observed,Temperature,Observation,13.21,,,,,
Aberdeen,2026-05-23 08:00:00,2026-05-23,08:00:00,Observed,Temperature,Observation,15.96,,,,,
Glasgow,2026-05-23 18:00:00,2026-05-23,18:00:00,Observed,Temperature,Observation,15.29,,,,,
Aberdeen,2026-05-23 18:00:00,2026-05-23,18:00:00,Observed,Temperature,Observation,18.01,,,,,
Glasgow,2026-05-24 05:00:00,2026-05-24,05:00:00,Observed,Temperature,Observation,12.5,,,,,
Aberdeen,2026-05-24 05:00:00,2026-05-24,05:00:00,Observed,Temperature,Observation,13.29,,,,,
Glasgow,2026-05-24 16:00:00,2026-05-24,16:00:00,Observed,Temperature,Observation,20.06,,,,,
Aberdeen,2026-05-24 16:00:00,2026-05-24,16:00:00,Observed,Temperature,Observation,20.62,,,,,
Glasgow,2026-05-25 03:00:00,2026-05-25,03:00:00,Observed,Temperature,Observation,8.39,,,,,
Aberdeen,2026-05-25 03:00:00,2026-05-25,03:00:00,Observed,Temperature,Observation,14.86,,,,,
Glasgow,2026-05-25 14:00:00,2026-05-25,14:00:00,Observed,Temperature,Observation,22.24,,,,,
Aberdeen,2026-05-25 14:00:00,2026-05-25,14:00:00,Observed,Temperature,Observation,21.97,,,,,
Glasgow,2026-05-26 01:00:00,2026-05-26,01:00:00,Observed,Temperature,Observation,14.25,,,,,
Aberdeen,2026-05-26 01:00:00,2026-05-26,01:00:00,Observed,Temperature,Observation,12.05,,,,,
Glasgow,2026-05-26 11:00:00,2026-05-26,11:00:00,Observed,Temperature,Observation,21.03,,,,,
Aberdeen,2026-05-26 11:00:00,2026-05-26,11:00:00,Observed,Temperature,Observation,16.19,,,,,
Glasgow,2026-05-26 22:00:00,2026-05-26,22:00:00,Observed,Temperature,Observation,12.91,,,,,
Aberdeen,2026-05-26 22:00:00,2026-05-26,22:00:00,Observed,Temperature,Observation,10.81,,,,,
Glasgow,2026-05-27 05:00:00,2026-05-27,05:00:00,Observed,Temperature,Observation,12.04,,,,,
Glasgow,2026-05-23 09:00:00,2026-05-23,09:00:00,Observed,Temperature,Observation,14.44,,,,,
Aberdeen,2026-05-23 09:00:00,2026-05-23,09:00:00,Observed,Temperature,Observation,16.43,,,,,
Glasgow,2026-05-23 19:00:00,2026-05-23,19:00:00,Observed,Temperature,Observation,14.62,,,,,
Aberdeen,2026-05-23 19:00:00,2026-05-23,19:00:00,Observed,Temperature,Observation,16.97,,,,,
Glasgow,2026-05-24 06:00:00,2026-05-24,06:00:00,Observed,Temperature,Observation,12.83,,,,,
Aberdeen,2026-05-24 06:00:00,2026-05-24,06:00:00,Observed,Temperature,Observation,13.38,,,,,
Glasgow,2026-05-24 17:00:00,2026-05-24,17:00:00,Observed,Temperature,Observation,19.67,,,,,
Aberdeen,2026-05-24 17:00:00,2026-05-24,17:00:00,Observed,Temperature,Observation,20.61,,,,,
Glasgow,2026-05-25 04:00:00,2026-05-25,04:00:00,Observed,Temperature,Observation,8.93,,,,,
Glasgow,2026-05-25 15:00:00,2026-05-25,15:00:00,Observed,Temperature,Observation,22.66,,,,,
Aberdeen,2026-05-25 15:00:00,2026-05-25,15:00:00,Observed,Temperature,Observation,21.87,,,,,
